ts,rooms_listed,rooms_cap,bytes_stored,bytes_cap,room_create,note_create,event
2026-08-26T17:00:48Z,8629,10240,119100000,5000000000,FULL,FULL,
2026-08-26T18:01:02Z,8632,10240,134100000,5000000000,FULL,FULL,
2026-08-26T19:01:01Z,9852,20480,129100000,5000000000,OK,OK,"mailbox_claimed,contrib_claimed"
2026-08-26T20:01:01Z,11154,20480,131199999,5000000000,CLAIMED,CLAIMED,
2026-08-26T21:01:01Z,12537,20480,124700000,5000000000,CLAIMED,CLAIMED,
2026-08-26T22:01:02Z,13966,20480,137200000,5000000000,CLAIMED,CLAIMED,
2026-08-26T23:01:01Z,15320,20480,123300000,5000000000,CLAIMED,CLAIMED,
2026-08-27T00:01:01Z,,,,,CLAIMED,CLAIMED,
2026-08-27T01:01:01Z,17610,20480,143700000,5000000000,CLAIMED,CLAIMED,
2026-08-27T02:01:01Z,17629,20480,128600000,5000000000,CLAIMED,CLAIMED,
2026-08-27T03:01:01Z,17663,20480,143600000,5000000000,CLAIMED,CLAIMED,
2026-08-27T04:01:01Z,17691,20480,143700000,5000000000,CLAIMED,CLAIMED,
2026-08-27T05:01:01Z,17720,20480,156100000,5000000000,CLAIMED,CLAIMED,
2026-08-27T05:02:34Z,17720,20480,157200000,5000000000,CLAIMED,CLAIMED,
2026-08-27T05:03:18Z,17720,20480,157700000,5000000000,CLAIMED,CLAIMED,
2026-08-27T05:05:50Z,17723,20480,150600000,5000000000,CLAIMED,CLAIMED,
